"Cleveland, OH","Philadelphia, PA",432
"Cleveland, OH","Phoenix, AZ",2014
"Cleveland, OH","Portland, OR",2449
"Cleveland, OH","Sacramento, CA",2399
"Cleveland, OH","San Antonio, TX",1456
"Cleveland, OH","Toronto, Ontario",292
"Cleveland, OH","Salt Lake City, UT",1725
"Cleveland, OH","Washington, D.C",374
"Dallas, TX","Miami, FL",1313
"Dallas, TX","Boston, MA",1761
"Dallas, TX","Los Angles, CA",1436
"Dallas, TX","New York, NY",1548
"Dallas, TX","San Francisco, CA",1732
"Dallas, TX","Atlanta, GA",781
"Dallas, TX","Brooklyn, NY",1557
"Dallas, TX","Charlotte, NC",1026
"Dallas, TX","Chicago, IL",968
"Dallas, TX","Cleveland, OH",1182
"Dallas, TX","Dallas, TX",2
"Dallas, TX","Denver, CO",793
"Dallas, TX","Detroit, MI",1185
"Dallas, TX","Houston, TX",239
"Dallas, TX","Indianapolis, IN",899
"Dallas, TX","Memphis, TN",452
"Dallas, TX","Oklahoma City, OK",206
"Dallas, TX","Milwaukee, WI",1003
"Dallas, TX","Minneapolis, MN",991
"Dallas, TX","New Orleans, LA",492
"Dallas, TX","Orlando, FL",1089
"Dallas, TX","Philadelphia, PA",1467
"Dallas, TX","Phoenix, AZ",#ERROR!
"Dallas, TX","Portland, OR",2032
"Dallas, TX","Sacramento, CA",1726
"Dallas, TX","San Antonio, TX",274
"Dallas, TX","Toronto, Ontario",1414
"Dallas, TX","Salt Lake City, UT",1242
"Dallas, TX","Washington, D.C",1328
"Denver, CO","Miami, FL",2065
"Denver, CO","Boston, MA",1972
"Denver, CO","Los Angles, CA",1017
"Denver, CO","New York, NY",1778
"Denver, CO","San Francisco, CA",1206
"Denver, CO","Atlanta, GA",1402
"Denver, CO","Brooklyn, NY",1783
"Denver, CO","Charlotte, NC",1564
"Denver, CO","Chicago, IL",1005
"Denver, CO","Cleveland, OH",1334
"Denver, CO","Dallas, TX",794
"Denver, CO","Denver, CO",2
"Denver, CO","Detroit, MI",1270
"Denver, CO","Houston, TX",1028
"Denver, CO","Indianapolis, IN",1085
"Denver, CO","Memphis, TN",1095
"Denver, CO","Oklahoma City, OK",679
"Denver, CO","Milwaukee, WI",1046
"Denver, CO","Minneapolis, MN",914
"Denver, CO","New Orleans, LA",1283
"Denver, CO","Orlando, FL",1841
"Denver, CO","Philadelphia, PA",1728
"Denver, CO","Phoenix, AZ",864
"Denver, CO","Portland, OR",1242
"Denver, CO","Sacramento, CA",1121
"Denver, CO","San Antonio, TX",931
"Denver, CO","Toronto, Ontario",1508
"Denver, CO","Salt Lake City, UT",519
"Denver, CO","Washington, D.C",1662
"Detroit, MI","Miami, FL",1385
"Detroit, MI","Boston, MA",707
"Detroit, MI","Los Angles, CA",2281
"Detroit, MI","New York, NY",614
"Detroit, MI","San Francisco, CA",2422
"Detroit, MI","Atlanta, GA",722
"Detroit, MI","Brooklyn, NY",619
"Detroit, MI","Charlotte, NC",625
"Detroit, MI","Chicago, IL",283
"Detroit, MI","Cleveland, OH",170
"Detroit, MI","Dallas, TX",1187
"Detroit, MI","Denver, CO",1268
"Detroit, MI","Detroit, MI",2
"Detroit, MI","Houston, TX",1302
"Detroit, MI","Indianapolis, IN",287
"Detroit, MI","Memphis, TN",744
"Detroit, MI","Oklahoma City, OK",1027
"Detroit, MI","Milwaukee, WI",373
"Detroit, MI","Minneapolis, MN",690
"Detroit, MI","New Orleans, LA",1068
"Detroit, MI","Orlando, FL",1161
"Detroit, MI","Philadelphia, PA",584
"Detroit, MI","Phoenix, AZ",1986
"Detroit, MI","Portland, OR",2387
"Detroit, MI","Sacramento, CA",2336
"Detroit, MI","San Antonio, TX",1460
"Detroit, MI","Toronto, Ontario",231
"Detroit, MI","Salt Lake City, UT",1663
"Detroit, MI","Washington, D.C",526
"Houston, TX","Miami, FL",1187
"Houston, TX","Boston, MA",1841
"Houston, TX","Los Angles, CA",1546
"Houston, TX","New York, NY",1628
"Houston, TX","San Francisco, CA",1927
"Houston, TX","Atlanta, GA",793
"Houston, TX","Brooklyn, NY",1637
"Houston, TX","Charlotte, NC",1039
"Houston, TX","Chicago, IL",1083
"Houston, TX","Cleveland, OH",1297
"Houston, TX","Dallas, TX",239
"Houston, TX","Denver, CO",1027
"Houston, TX","Detroit, MI",1300
"Houston, TX","Houston, TX",2
"Houston, TX","Indianapolis, IN",1014
"Houston, TX","Memphis, TN",567
"Houston, TX","Oklahoma City, OK",445
"Houston, TX","Milwaukee, WI",1151
"Houston, TX","Minneapolis, MN",1178
"Houston, TX","New Orleans, LA",348
"Houston, TX","Orlando, FL",963
"Houston, TX","Philadelphia, PA",1547
"Houston, TX","Phoenix, AZ",1174
"Houston, TX","Portland, OR",2267
"Houston, TX","Sacramento, CA",1929
"Houston, TX","San Antonio, TX",197
"Houston, TX","Toronto, Ontario",1529
"Houston, TX","Salt Lake City, UT",1477
"Houston, TX","Washington, D.C",1408
"Indianapolis, IN","Miami, FL",1195
"Indianapolis, IN","Boston, MA",950
"Indianapolis, IN","Los Angles, CA",2068
"Indianapolis, IN","New York, NY",710
"Indianapolis, IN","San Francisco, CA",2283
"Indianapolis, IN","Atlanta, GA",533
"Indianapolis, IN","Brooklyn, NY",731
"Indianapolis, IN","Charlotte, NC",574
"Indianapolis, IN","Chicago, IL",183
"Indianapolis, IN","Cleveland, OH",317
"Indianapolis, IN","Dallas, TX",900
"Indianapolis, IN","Denver, CO",1083
"Indianapolis, IN","Detroit, MI",286
"Indianapolis, IN","Houston, TX",1014
"Indianapolis, IN","Indianapolis, IN",2
"Indianapolis, IN","Memphis, TN",464
"Indianapolis, IN","Oklahoma City, OK",740
"Indianapolis, IN","Milwaukee, WI",273
"Indianapolis, IN","Minneapolis, MN",590
"Indianapolis, IN","New Orleans, LA",821
"Indianapolis, IN","Orlando, FL",971
"Indianapolis, IN","Philadelphia, PA",643
